Week,renv,automagic
16/07/2017,24,21
23/07/2017,33,24
30/07/2017,46,40
06/08/2017,24,24
13/08/2017,26,18
20/08/2017,30,31
27/08/2017,47,28
03/09/2017,33,17
10/09/2017,21,19
17/09/2017,32,20
24/09/2017,41,19
01/10/2017,51,31
08/10/2017,29,19
15/10/2017,23,26
22/10/2017,27,24
29/10/2017,41,27
05/11/2017,27,22
12/11/2017,22,26
19/11/2017,28,26
26/11/2017,26,22
03/12/2017,32,31
10/12/2017,23,26
17/12/2017,31,23
24/12/2017,20,24
31/12/2017,15,22
07/01/2018,25,23
14/01/2018,35,17
21/01/2018,24,15
28/01/2018,40,20
04/02/2018,25,19
11/02/2018,12,21
18/02/2018,28,22
25/02/2018,48,28
04/03/2018,29,26
11/03/2018,13,25
18/03/2018,23,22
25/03/2018,27,20
01/04/2018,21,21
08/04/2018,14,20
15/04/2018,20,16
22/04/2018,16,21
29/04/2018,32,25
06/05/2018,19,21
13/05/2018,17,21
20/05/2018,18,30
27/05/2018,21,24
03/06/2018,21,22
10/06/2018,11,22
17/06/2018,19,24
24/06/2018,34,19
01/07/2018,28,17
08/07/2018,22,22
15/07/2018,8,15
22/07/2018,15,33
29/07/2018,42,14
05/08/2018,16,19
12/08/2018,16,10
19/08/2018,19,11
26/08/2018,33,15
02/09/2018,26,18
09/09/2018,16,17
16/09/2018,12,15
23/09/2018,23,19
30/09/2018,21,20
07/10/2018,18,17
14/10/2018,17,21
21/10/2018,14,21
28/10/2018,17,20
04/11/2018,18,19
11/11/2018,10,22
18/11/2018,16,17
25/11/2018,21,21
02/12/2018,16,16
09/12/2018,14,12
16/12/2018,14,17
23/12/2018,11,14
30/12/2018,13,7
06/01/2019,23,25
13/01/2019,18,25
20/01/2019,9,21
27/01/2019,28,15
03/02/2019,19,20
10/02/2019,21,23
17/02/2019,9,20
24/02/2019,37,19
03/03/2019,21,27
10/03/2019,23,24
17/03/2019,18,23
24/03/2019,29,21
31/03/2019,19,20
07/04/2019,13,30
14/04/2019,10,16
21/04/2019,23,16
28/04/2019,21,18
05/05/2019,14,19
12/05/2019,13,18
19/05/2019,19,16
26/05/2019,36,19
02/06/2019,17,18
09/06/2019,16,16
16/06/2019,14,14
23/06/2019,29,15
30/06/2019,15,23
07/07/2019,19,19
14/07/2019,19,22
21/07/2019,19,19
28/07/2019,24,25
04/08/2019,19,22
11/08/2019,14,18
18/08/2019,15,26
25/08/2019,36,19
01/09/2019,31,17
08/09/2019,27,23
15/09/2019,21,18
22/09/2019,23,21
29/09/2019,26,16
06/10/2019,22,19
13/10/2019,19,14
20/10/2019,12,19
27/10/2019,28,17
03/11/2019,26,15
10/11/2019,17,19
17/11/2019,17,16
24/11/2019,31,25
01/12/2019,24,16
08/12/2019,21,16
15/12/2019,19,23
22/12/2019,10,15
29/12/2019,19,16
05/01/2020,24,30
12/01/2020,23,23
19/01/2020,15,14
26/01/2020,37,14
02/02/2020,22,19
09/02/2020,12,22
16/02/2020,21,22
23/02/2020,27,17
01/03/2020,19,12
08/03/2020,19,10
15/03/2020,8,11
22/03/2020,7,16
29/03/2020,15,12
05/04/2020,11,15
12/04/2020,9,10
19/04/2020,17,12
26/04/2020,28,16
03/05/2020,24,14
10/05/2020,16,24
17/05/2020,18,15
24/05/2020,23,16
31/05/2020,15,16
07/06/2020,20,19
14/06/2020,26,13
21/06/2020,23,9
28/06/2020,22,24
05/07/2020,20,11
12/07/2020,23,18
19/07/2020,21,14
26/07/2020,27,17
02/08/2020,24,18
09/08/2020,16,15
16/08/2020,16,10
23/08/2020,26,20
30/08/2020,37,14
06/09/2020,19,17
13/09/2020,20,18
20/09/2020,21,18
27/09/2020,38,16
04/10/2020,23,12
11/10/2020,12,12
18/10/2020,9,13
25/10/2020,28,11
01/11/2020,23,11
08/11/2020,19,19
15/11/2020,10,19
22/11/2020,27,15
29/11/2020,20,17
06/12/2020,18,15
13/12/2020,12,19
20/12/2020,10,13
27/12/2020,20,15
03/01/2021,26,13
10/01/2021,24,12
17/01/2021,29,15
24/01/2021,36,9
31/01/2021,32,15
07/02/2021,26,20
14/02/2021,32,11
21/02/2021,33,14
28/02/2021,35,10
07/03/2021,39,20
14/03/2021,22,23
21/03/2021,32,20
28/03/2021,47,8
04/04/2021,64,14
11/04/2021,47,12
18/04/2021,44,14
25/04/2021,49,13
02/05/2021,56,18
09/05/2021,57,12
16/05/2021,89,15
23/05/2021,97,14
30/05/2021,82,14
06/06/2021,90,8
13/06/2021,95,16
20/06/2021,56,19
27/06/2021,61,22
04/07/2021,47,20
11/07/2021,29,15
18/07/2021,26,20
25/07/2021,45,13
01/08/2021,38,12
08/08/2021,27,10
15/08/2021,20,13
22/08/2021,28,26
29/08/2021,49,13
05/09/2021,34,22
12/09/2021,32,19
19/09/2021,36,21
26/09/2021,55,13
03/10/2021,54,15
10/10/2021,39,17
17/10/2021,55,19
24/10/2021,100,19
31/10/2021,79,12
07/11/2021,85,12
14/11/2021,94,15
21/11/2021,98,18
28/11/2021,75,15
05/12/2021,98,11
12/12/2021,77,12
19/12/2021,53,7
26/12/2021,59,9
02/01/2022,60,19
09/01/2022,62,17
16/01/2022,58,15
23/01/2022,58,12
30/01/2022,50,13
06/02/2022,41,11
13/02/2022,39,23
20/02/2022,45,6
27/02/2022,51,20
06/03/2022,42,20
13/03/2022,40,11
20/03/2022,28,11
27/03/2022,42,10
03/04/2022,19,14
10/04/2022,19,17
17/04/2022,14,21
24/04/2022,18,14
01/05/2022,25,17
08/05/2022,19,16
15/05/2022,16,13
22/05/2022,15,18
29/05/2022,23,14
05/06/2022,20,12
12/06/2022,14,18
19/06/2022,32,20
26/06/2022,42,17
03/07/2022,64,25
10/07/2022,42,27
