Week,renv,automagic
18/07/2021,26,20
25/07/2021,45,13
01/08/2021,38,12
08/08/2021,27,10
15/08/2021,20,13
22/08/2021,28,26
29/08/2021,49,13
05/09/2021,34,22
12/09/2021,32,19
19/09/2021,36,21
26/09/2021,55,13
03/10/2021,54,15
10/10/2021,39,17
17/10/2021,55,19
24/10/2021,100,19
31/10/2021,79,12
07/11/2021,85,12
14/11/2021,94,15
21/11/2021,98,18
28/11/2021,75,15
05/12/2021,98,11
12/12/2021,77,12
19/12/2021,53,7
26/12/2021,59,9
02/01/2022,60,19
09/01/2022,62,17
16/01/2022,58,15
23/01/2022,58,12
30/01/2022,50,13
06/02/2022,41,11
13/02/2022,39,23
20/02/2022,45,6
27/02/2022,51,20
06/03/2022,42,20
13/03/2022,40,11
20/03/2022,28,11
27/03/2022,42,10
03/04/2022,19,14
10/04/2022,19,17
17/04/2022,14,21
24/04/2022,18,14
01/05/2022,25,17
08/05/2022,19,16
15/05/2022,16,13
22/05/2022,15,18
29/05/2022,23,14
05/06/2022,20,12
12/06/2022,14,18
19/06/2022,32,20
26/06/2022,42,17
03/07/2022,65,25
10/07/2022,41,30
